start_s,end_s,duration_s,pitch_midi,velocity
0.267029,0.510839,0.243810,48,91
0.278639,0.743039,0.464399,64,74
0.278639,0.824308,0.545669,67,42
0.313469,0.487619,0.174150,76,67
0.499229,0.743039,0.243810,76,69
0.510839,1.265488,0.754649,48,77
0.743039,0.952018,0.208980,64,63
0.743039,0.975238,0.232200,76,71
0.754649,1.369977,0.615329,72,46
0.975238,1.439637,0.464399,76,66
0.986848,1.439637,0.452789,64,54
1.219048,1.683447,0.464399,67,37
1.265488,1.486077,0.220590,48,101
1.439637,1.799546,0.359909,64,72
1.439637,1.973696,0.534059,76,61
1.486077,1.998200,0.512123,48,77
1.683447,1.880816,0.197370,67,56
1.683447,1.915646,0.232200,43,75
1.695057,2.091080,0.396023,52,54
1.915646,2.160740,0.245093,43,82
1.927256,2.137520,0.210263,60,52
1.927256,2.172350,0.245093,72,59
1.986590,2.230400,0.243810,78,64
2.137520,2.323279,0.185760,60,62
2.160740,2.392939,0.232200,43,87
2.230400,2.381329,0.150930,79,72
2.369719,2.625139,0.255420,59,56
2.381329,2.613529,0.232200,79,74
2.392939,2.822508,0.429569,43,83
2.613529,3.112758,0.499229,79,64
2.625139,2.857338,0.232200,59,63
2.625139,2.857338,0.232200,74,47
2.625139,3.194028,0.568889,71,37
2.648359,3.031488,0.383129,67,51
2.683189,3.089538,0.406349,55,51
2.857338,3.031488,0.174150,74,61
2.857338,3.333347,0.476009,59,47
3.089538,3.275298,0.185760,62,41
3.101148,3.333347,0.232200,55,67
3.101148,3.391397,0.290249,43,87
3.333347,3.623597,0.290249,59,65
3.333347,3.704867,0.371519,55,62
3.333347,3.890626,0.557279,79,59
3.391397,3.577157,0.185760,43,86
3.553937,4.031230,0.477293,38,44
3.553937,4.042840,0.488903,50,61
3.565547,3.704867,0.139320,62,50
3.577157,3.797746,0.220590,67,68
3.577157,3.867406,0.290249,43,58
3.623597,3.809356,0.185760,59,71
3.797746,4.031230,0.233483,55,59
3.797746,4.158940,0.361193,67,69
3.809356,4.147330,0.337973,59,53
3.890626,4.193770,0.303143,79,61
4.019620,4.263429,0.243810,41,73
4.019620,4.495629,0.476009,81,69
4.031230,4.170550,0.139320,38,46
4.100890,4.971638,0.870748,53,55
4.147330,4.484019,0.336689,60,43
4.263429,4.484019,0.220590,57,54
4.263429,4.994858,0.731429,41,63
4.484019,4.669779,0.185760,57,42
4.495629,4.634949,0.139320,60,55
4.495629,4.716219,0.220590,69,72
4.495629,4.716219,0.220590,81,59
4.495629,4.727829,0.232200,72,55
4.507239,4.692999,0.185760,48,67
4.576899,4.901978,0.325079,77,37
4.716219,5.064518,0.348299,69,70
4.716219,5.505697,0.789478,81,49
4.727829,4.901978,0.174150,48,52
4.727829,5.052908,0.325079,72,52
4.983248,5.436037,0.452789,53,79
4.994858,5.261888,0.267029,41,75
5.006468,5.192228,0.185760,57,48
5.192228,5.656627,0.464399,83,64
5.203838,5.447647,0.243810,57,72
5.261888,5.436037,0.174150,41,80
5.436037,5.633407,0.197370,60,53
5.436037,5.656627,0.220590,41,59
5.436037,5.668237,0.232200,53,65
5.447647,5.994600,0.546953,57,61
5.494087,5.691457,0.197370,48,80
5.656627,6.540269,0.883642,84,61
5.668237,6.029430,0.361193,65,62
5.668237,6.052650,0.384413,53,67
5.691457,5.923656,0.232200,48,81
5.900436,6.354509,0.454073,88,61
5.912046,6.366119,0.454073,60,61
5.923656,6.122310,0.198654,48,82
6.029430,6.354509,0.325079,64,68
6.122310,6.517049,0.394739,48,72
6.354509,6.795688,0.441179,88,53
6.366119,6.528659,0.162540,79,39
6.366119,6.609929,0.243810,76,64
6.366119,6.842128,0.476009,60,69
6.366119,6.853738,0.487619,64,49
6.586709,6.772468,0.185760,43,45
6.609929,6.865348,0.255420,76,68
6.818908,7.248478,0.429569,48,73
6.842128,7.074328,0.232200,60,88
6.842128,7.074328,0.232200,88,37
6.853738,7.074328,0.220590,64,63
7.074328,7.248478,0.174150,88,42
7.074328,7.260088,0.185760,67,53
7.074328,7.306527,0.232200,64,66
7.074328,7.318137,0.243810,52,67
7.074328,7.318137,0.243810,60,81
7.306527,7.538727,0.232200,55,101
7.306527,7.538727,0.232200,89,77
7.306527,7.759317,0.452789,64,56
7.318137,7.538727,0.220590,60,77
7.329747,7.666437,0.336689,72,41
7.527117,7.747707,0.220590,52,56
7.538727,7.887026,0.348299,60,73
7.538727,7.910246,0.371519,55,75
7.538727,7.969580,0.430853,88,58
7.782537,7.957970,0.175434,77,42
7.782537,8.248220,0.465683,69,63
7.794146,7.946360,0.152214,62,38
7.794146,7.981190,0.187044,86,60
7.794146,7.992800,0.198654,50,77
7.794146,8.492029,0.697883,65,52
7.992800,8.236610,0.243810,86,45
7.992800,8.248220,0.255420,50,80
7.992800,8.248220,0.255420,74,83
8.236610,8.701009,0.464399,86,54
8.248220,8.410759,0.162540,50,64
8.248220,8.433979,0.185760,74,54
8.248220,8.480419,0.232200,69,89
8.248220,8.712619,0.464399,62,52
8.480419,8.631349,0.150930,74,35
8.480419,8.712619,0.232200,69,70
8.492029,8.933208,0.441179,65,70
8.712619,8.991258,0.278639,50,86
8.712619,9.165408,0.452789,69,54
8.712619,9.177018,0.464399,62,84
8.817108,9.095748,0.278639,53,44
8.840328,8.991258,0.150930,81,48
8.991258,9.165408,0.174150,72,45
8.991258,9.177018,0.185760,50,90
9.165408,9.653027,0.487619,69,73
9.165408,9.803956,0.638549,88,59
9.177018,9.502097,0.325079,50,54
9.177018,9.571757,0.394739,62,60
9.351167,9.594977,0.243810,53,44
9.409217,9.850396,0.441179,86,60
9.653027,9.815566,0.162540,45,46
9.653027,9.815566,0.162540,69,50
9.653027,9.896836,0.243810,64,47
9.653027,9.908446,0.255420,48,84
9.653027,9.967780,0.314753,60,54
9.664637,9.885226,0.220590,67,49
9.664637,9.885226,0.220590,72,48
