start_s,end_s,duration_s,pitch_midi,velocity
0.150930,0.359909,0.208980,84,63
0.150930,0.905578,0.754649,57,87
0.162540,0.673379,0.510839,64,79
0.673379,0.847528,0.174150,83,78
0.673379,0.859138,0.185760,64,69
0.847528,1.044898,0.197370,81,57
0.859138,1.613787,0.754649,53,91
1.172608,1.416417,0.243810,41,46
1.207438,1.486077,0.278639,79,72
1.567347,1.927256,0.359909,72,78
1.613787,1.938866,0.325079,52,86
1.915646,2.485819,0.570173,50,67
1.927256,2.242010,0.314753,71,73
1.927256,2.334889,0.407633,62,59
1.938866,2.207180,0.268313,52,70
2.265229,2.416159,0.150930,67,53
2.265229,2.462599,0.197370,43,37
2.265229,2.474209,0.208980,72,52
2.265229,2.938608,0.673379,60,56
2.265229,3.008268,0.743039,48,81
2.265229,3.205638,0.940408,55,70
2.613529,2.799288,0.185760,79,48
2.961828,3.101148,0.139320,43,44
2.973438,3.228858,0.255420,62,44
2.973438,3.310127,0.336689,65,74
2.973438,3.379787,0.406349,50,77
3.333347,3.519107,0.185760,64,47
3.333347,3.530717,0.197370,76,52
3.333347,3.693257,0.359909,52,81
3.333347,3.879016,0.545669,67,74
3.681647,4.321479,0.639833,69,75
3.693257,4.008010,0.314753,74,65
3.693257,4.031230,0.337973,53,80
3.751307,3.913846,0.162540,41,44
4.031230,4.379529,0.348299,54,89
4.031230,4.391139,0.359909,72,71
4.379529,5.087738,0.708209,55,84
4.379529,5.099348,0.719819,62,72
4.391139,4.739439,0.348299,72,72
4.681389,4.960028,0.278639,43,63
4.739439,5.087738,0.348299,71,86
4.971638,5.157398,0.185760,43,77
5.099348,5.447647,0.348299,60,83
5.099348,5.470867,0.371519,69,74
5.157398,5.888826,0.731429,43,77
5.447647,5.807556,0.359909,67,79
5.447647,6.145530,0.697883,59,74
5.795946,6.377729,0.581783,72,61
5.807556,6.261629,0.454073,67,63
5.807556,6.331289,0.523733,56,87
6.319679,6.493829,0.174150,77,81
6.331289,6.517049,0.185760,56,65
6.493829,6.702809,0.208980,75,53
6.493829,6.830518,0.336689,63,51
6.493829,7.213648,0.719819,51,86
6.505439,7.213648,0.708209,67,75
6.853738,7.190428,0.336689,74,77
7.213648,7.422627,0.208980,51,56
7.213648,7.689657,0.476009,56,60
7.213648,7.828976,0.615329,67,71
7.260088,7.898636,0.638549,44,85
7.561947,7.898636,0.336689,65,72
7.898636,8.968038,1.069402,43,75
7.921856,8.271439,0.349583,63,61
7.921856,8.341099,0.419243,70,57
7.933466,8.561689,0.628223,51,45
7.933466,8.573299,0.639833,55,50
8.271439,8.538469,0.267029,63,56
8.271439,8.596519,0.325079,75,66
8.619739,8.968038,0.348299,68,85
8.631349,9.153798,0.522449,41,74
8.968038,9.107358,0.139320,55,33
8.968038,9.327947,0.359909,43,88
8.968038,9.327947,0.359909,67,66
9.327947,9.699467,0.371519,68,55
9.327947,9.850396,0.522449,53,63
9.327947,9.885226,0.557279,44,73
9.664637,10.037440,0.372803,46,79
9.676247,9.885226,0.208980,58,49
9.676247,9.920056,0.243810,70,55
9.699467,9.850396,0.150930,63,42
9.850396,10.014220,0.163824,39,50
9.862006,10.025830,0.163824,63,49
9.862006,10.037440,0.175434,75,75
10.014220,11.059118,1.044898,39,99
10.025830,10.339299,0.313469,63,43
10.025830,10.548279,0.522449,51,55
10.025830,11.059118,1.033288,67,67
10.037440,10.223200,0.185760,75,57
