group,status,files,note_counts,note_count_delta,durations_s,duration_delta_s,pitch_ranges,mean_pitches,mean_pitch_delta
1,ok,jingle_001.wav jingle_002.wav,57 59,2,7.423 7.504,0.081,40-87 40-87,65.63 65.39,0.24
2,ok,jingle_003.wav jingle_004.wav,81 79,2,6.622 6.622,0.000,36-89 36-89,59.84 59.75,0.09
3,ok,jingle_005.wav jingle_006.wav,87 86,1,6.622 6.622,0.000,36-84 36-84,60.01 59.10,0.91
4,ok,jingle_007.wav jingle_008.wav,55 52,3,6.087 6.087,0.000,40-84 43-91,58.47 59.94,1.47
5,ok,jingle_009.wav jingle_010.wav,105 102,3,11.616 11.605,0.012,41-91 45-91,68.74 69.42,0.68
6,ok,jingle_011.wav jingle_012.wav,62 62,0,7.179 7.179,0.000,59-84 59-86,69.71 70.32,0.61
7,ok,jingle_013.wav jingle_014.wav,90 90,0,8.086 8.086,0.000,43-84 43-84,63.31 63.36,0.04
8,ok,jingle_015.wav jingle_016.wav,56 56,0,7.817 7.504,0.313,42-87 44-87,62.62 62.82,0.20
9,ok,jingle_017.wav jingle_018.wav,72 70,2,8.155 8.155,0.000,39-79 39-79,62.38 62.76,0.38
10,ok,jingle_019.wav jingle_020.wav,70 69,1,7.190 7.190,0.000,36-80 36-80,62.16 62.33,0.18
11,ok,jingle_021.wav jingle_022.wav,66 65,1,7.074 7.086,0.012,40-81 41-81,63.38 63.66,0.28
12,ok,jingle_023.wav jingle_024.wav,66 61,5,7.051 7.051,0.000,39-89 39-89,69.36 70.54,1.18
13,ok,jingle_025.wav jingle_026.wav,76 77,1,8.248 8.260,0.012,47-87 47-87,67.58 67.77,0.19
14,ok,jingle_027.wav jingle_028.wav,107 106,1,8.527 8.527,0.000,38-89 38-89,65.42 64.69,0.73
15,ok,jingle_029.wav jingle_030.wav,90 94,4,7.063 7.063,0.000,36-89 36-89,69.32 68.72,0.60
16,ok,jingle_031.wav jingle_032.wav,113 109,4,9.734 9.734,0.000,35-83 35-83,67.31 67.24,0.07
17,ok,jingle_033.wav jingle_034.wav,98 98,0,10.711 10.711,0.000,37-81 37-81,60.92 61.28,0.36
18,ok,jingle_035.wav jingle_036.wav,60 60,0,8.771 8.759,0.012,42-84 42-84,67.45 66.97,0.48
19,ok,jingle_037.wav jingle_038.wav,78 76,2,8.666 8.666,0.000,35-85 35-85,67.59 68.04,0.45
20,ok,jingle_039.wav jingle_040.wav,47 48,1,8.713 8.713,0.000,38-79 38-79,64.21 64.25,0.04
21,ok,jingle_041.wav jingle_042.wav,89 86,3,11.059 11.059,0.000,39-84 39-84,60.49 60.77,0.27
22,ok,jingle_043.wav jingle_044.wav,70 68,2,10.177 10.177,0.000,36-77 36-77,62.34 62.16,0.18
23,ok,jingle_045.wav jingle_046.wav,86 85,1,9.490 9.490,0.000,32-78 32-78,60.56 60.96,0.41
24,ok,jingle_047.wav jingle_048.wav,56 51,5,9.386 9.386,0.000,37-78 37-78,63.52 63.20,0.32
25,ok,jingle_049.wav jingle_050.wav,47 46,1,7.457 7.457,0.000,39-81 39-81,60.55 60.26,0.29
26,ok,jingle_051.wav jingle_052.wav,83 84,1,9.073 9.084,0.012,36-84 36-84,60.22 59.55,0.67
27,ok,jingle_053.wav jingle_054.wav,43 43,0,7.713 7.701,0.012,42-82 42-82,64.16 64.09,0.07
28,ok,jingle_055.wav jingle_056.wav,80 81,1,9.386 9.386,0.000,48-85 48-85,70.83 70.89,0.06
29,ok,jingle_057.wav jingle_058.wav,131 129,2,10.595 10.595,0.000,35-90 35-90,58.83 58.50,0.34
30,ok,jingle_059.wav jingle_060.wav,67 64,3,8.585 8.585,0.000,40-85 40-85,61.24 61.64,0.40
31,ok,jingle_061.wav jingle_062.wav,87 89,2,7.086 7.086,0.000,37-82 37-82,61.97 61.56,0.40
32,ok,jingle_063.wav jingle_064.wav,86 86,0,7.620 7.620,0.000,37-82 37-82,62.47 61.60,0.86
33,ok,jingle_065.wav jingle_066.wav,84 81,3,9.363 9.351,0.012,35-77 35-77,57.38 57.36,0.02
