source_group,midi_file,note_count,min_pitch,max_pitch
dropbox,data\midi\dropbox\001.mid,84,50,96
dropbox,data\midi\dropbox\002.mid,154,36,81
dropbox,data\midi\dropbox\003.mid,237,38,89
dropbox,data\midi\dropbox\004.mid,220,31,100
dropbox,data\midi\dropbox\005.mid,274,36,96
dropbox,data\midi\dropbox\006.mid,93,36,96
dropbox,data\midi\dropbox\007.mid,73,36,89
dropbox,data\midi\dropbox\008.mid,91,64,98
dropbox,data\midi\dropbox\009.mid,122,31,96
dropbox,data\midi\dropbox\010.mid,88,31,89
dropbox,data\midi\dropbox\011.mid,154,27,95
dropbox,data\midi\dropbox\012.mid,211,77,81
dropbox,data\midi\dropbox\013.mid,152,72,76
dropbox,data\midi\dropbox\014.mid,154,53,101
dropbox,data\midi\dropbox\015.mid,125,44,84
dropbox,data\midi\dropbox\016.mid,93,63,87
dropbox,data\midi\dropbox\017.mid,80,44,99
dropbox,data\midi\dropbox\018.mid,166,41,89
dropbox,data\midi\dropbox\019.mid,69,36,77
dropbox,data\midi\dropbox\020.mid,6,70,75
dropbox,data\midi\dropbox\021.mid,7,35,73
dropbox,data\midi\dropbox\022.mid,7,70,75
dropbox,data\midi\dropbox\023.mid,10,56,86
dropbox,data\midi\dropbox\024.mid,1,63,63
dropbox,data\midi\dropbox\025.mid,9,100,100
dropbox,data\midi\dropbox\026.mid,2,105,105
dropbox,data\midi\dropbox\027.mid,1,105,105
dropbox,data\midi\dropbox\028.mid,2,64,67
dropbox,data\midi\dropbox\029.mid,1,63,63
dropbox,data\midi\dropbox\030.mid,1,81,81
dropbox,data\midi\dropbox\031.mid,0,,
dropbox,data\midi\dropbox\032.mid,1,77,77
dropbox,data\midi\dropbox\033.mid,0,,
dropbox,data\midi\dropbox\034.mid,3,84,88
dropbox,data\midi\dropbox\035.mid,94,36,96
dropbox,data\midi\dropbox\036.mid,22,52,72
dropbox,data\midi\dropbox\037.mid,110,55,79
dropbox,data\midi\dropbox\038.mid,125,45,97
dropbox,data\midi\dropbox\039.mid,295,55,91
dropbox,data\midi\dropbox\040.mid,291,41,98
dropbox,data\midi\dropbox\041.mid,122,55,80
dropbox,data\midi\dropbox\042.mid,98,31,94
dropbox,data\midi\dropbox\043.mid,119,31,101
dropbox,data\midi\dropbox\044.mid,73,56,101
dropbox,data\midi\dropbox\045.mid,97,48,100
dropbox,data\midi\dropbox\046.mid,70,36,89
dropbox,data\midi\dropbox\047.mid,236,31,88
dropbox,data\midi\dropbox\048.mid,139,57,88
dropbox,data\midi\dropbox\049.mid,96,49,82
dropbox,data\midi\dropbox\050.mid,96,60,84
dropbox,data\midi\dropbox\051.mid,81,60,81
dropbox,data\midi\dropbox\052.mid,76,48,91
dropbox,data\midi\dropbox\053.mid,108,48,91
dropbox,data\midi\dropbox\054.mid,144,61,99
dropbox,data\midi\dropbox\055.mid,103,60,91
dropbox,data\midi\dropbox\056.mid,147,34,99
dropbox,data\midi\dropbox\057.mid,192,34,99
dropbox,data\midi\dropbox\058.mid,297,22,94
dropbox,data\midi\dropbox\059.mid,288,31,94
dropbox,data\midi\dropbox\060.mid,274,45,91
dropbox,data\midi\dropbox\061.mid,204,43,86
dropbox,data\midi\dropbox\062.mid,75,31,95
dropbox,data\midi\dropbox\063.mid,101,57,98
dropbox,data\midi\dropbox\064.mid,94,37,99
dropbox,data\midi\dropbox\065.mid,85,45,78
dropbox,data\midi\dropbox\066.mid,72,50,99
dropbox,data\midi\dropbox\067.mid,126,36,100
dropbox,data\midi\dropbox\068.mid,83,62,94
dropbox,data\midi\dropbox\069.mid,23,57,98
dropbox,data\midi\dropbox\070.mid,66,69,86
dropbox,data\midi\dropbox\071.mid,99,56,81
dropbox,data\midi\dropbox\072.mid,57,54,85
dropbox,data\midi\dropbox\073.mid,80,64,107
dropbox,data\midi\dropbox\074.mid,213,38,89
dropbox,data\midi\dropbox\075.mid,154,36,100
dropbox,data\midi\dropbox\076.mid,165,57,81
dropbox,data\midi\dropbox\077.mid,120,57,76
dropbox,data\midi\dropbox\078.mid,70,45,79
dropbox,data\midi\dropbox\079.mid,93,45,101
dropbox,data\midi\dropbox\080.mid,162,45,101
dropbox,data\midi\dropbox\081.mid,126,45,95
dropbox,data\midi\dropbox\082.mid,115,51,95
dropbox,data\midi\dropbox\083.mid,167,31,107
dropbox,data\midi\dropbox\084.mid,78,24,91
dropbox,data\midi\dropbox\085.mid,86,23,99
dropbox,data\midi\dropbox\086.mid,197,36,89
dropbox,data\midi\dropbox\087.mid,181,38,98
dropbox,data\midi\dropbox\088.mid,102,36,88
dropbox,data\midi\dropbox\089.mid,177,40,86
dropbox,data\midi\dropbox\090.mid,78,34,97
dropbox,data\midi\dropbox\091.mid,157,36,89
dropbox,data\midi\dropbox\092.mid,118,38,98
dropbox,data\midi\dropbox\093.mid,89,48,93
dropbox,data\midi\dropbox\094.mid,147,31,89
dropbox,data\midi\dropbox\095.mid,83,31,87
dropbox,data\midi\dropbox\096.mid,135,31,88
dropbox,data\midi\dropbox\097.mid,75,31,82
dropbox,data\midi\dropbox\098.mid,95,31,81
dropbox,data\midi\dropbox\099.mid,145,31,86
dropbox,data\midi\dropbox\100.mid,131,31,86
dropbox,data\midi\dropbox\101.mid,124,31,101
dropbox,data\midi\dropbox\102.mid,63,31,86
dropbox,data\midi\dropbox\103.mid,125,31,101
dropbox,data\midi\dropbox\104.mid,126,31,87
dropbox,data\midi\dropbox\105.mid,101,31,89
dropbox,data\midi\dropbox\106.mid,113,31,89
dropbox,data\midi\dropbox\107.mid,60,31,80
dropbox,data\midi\dropbox\108.mid,106,31,101
dropbox,data\midi\dropbox\109.mid,138,31,84
dropbox,data\midi\dropbox\110.mid,98,39,79
dropbox,data\midi\dropbox\111.mid,47,31,88
dropbox,data\midi\dropbox\112.mid,18,57,98
dropbox,data\midi\dropbox\113.mid,5,69,76
dropbox,data\midi\dropbox\114.mid,22,52,81
dropbox,data\midi\dropbox\115.mid,102,31,100
dropbox,data\midi\dropbox\116.mid,130,36,82
dropbox,data\midi\dropbox\117.mid,135,36,82
dropbox,data\midi\dropbox\118.mid,149,31,101
dropbox,data\midi\dropbox\119.mid,157,41,94
dropbox,data\midi\dropbox\120.mid,171,31,98
dropbox,data\midi\dropbox\121.mid,109,42,102
dropbox,data\midi\dropbox\122.mid,91,56,100
dropbox,data\midi\dropbox\123.mid,116,36,96
dropbox,data\midi\dropbox\124.mid,95,44,92
dropbox,data\midi\dropbox\125.mid,88,40,84
dropbox,data\midi\dropbox\126.mid,102,31,88
dropbox,data\midi\dropbox\127.mid,108,35,101
dropbox,data\midi\dropbox\128.mid,19,64,83
dropbox,data\midi\dropbox\129.mid,66,47,78
dropbox,data\midi\dropbox\130.mid,48,42,85
dropbox,data\midi\dropbox\131.mid,4,57,61
dropbox,data\midi\dropbox\132.mid,69,60,79
dropbox,data\midi\dropbox\133.mid,52,74,96
dropbox,data\midi\dropbox\134.mid,28,68,81
dropbox,data\midi\dropbox\135.mid,79,47,102
dropbox,data\midi\dropbox\136.mid,94,31,100
dropbox,data\midi\dropbox\137.mid,126,38,98
dropbox,data\midi\dropbox\138.mid,98,40,92
dropbox,data\midi\dropbox\139.mid,143,36,101
dropbox,data\midi\dropbox\140.mid,129,42,99
dropbox,data\midi\dropbox\141.mid,275,54,93
dropbox,data\midi\dropbox\142.mid,260,57,100
dropbox,data\midi\dropbox\143.mid,83,55,87
dropbox,data\midi\dropbox\144.mid,148,31,100
dropbox,data\midi\dropbox\145.mid,131,33,93
dropbox,data\midi\dropbox\146.mid,119,29,101
