index,repeat_group,repeat_index,repeat_delta_ms,repeat_status,output_path,start_ms,end_ms,start_s,end_s,duration_ms,duration_s,clip_dbfs
1,1,1,0,ok,data\split_audio\splits2\jingle_001.wav,0,10535,0.000,10.535,10535,10.535,-14.19
2,1,2,150,ok,data\split_audio\splits2\jingle_002.wav,10235,20920,10.235,20.920,10685,10.685,-14.25
3,2,1,0,ok,data\split_audio\splits2\jingle_003.wav,21765,36555,21.765,36.555,14790,14.790,-18.81
4,2,2,0,ok,data\split_audio\splits2\jingle_004.wav,36255,51045,36.255,51.045,14790,14.790,-18.83
5,3,1,0,ok,data\split_audio\splits2\jingle_005.wav,51730,61092,51.730,61.092,9362,9.362,-19.18
6,3,2,1,ok,data\split_audio\splits2\jingle_006.wav,60792,70155,60.792,70.155,9363,9.363,-19.23
7,4,1,0,ok,data\split_audio\splits2\jingle_007.wav,71755,81982,71.755,81.982,10227,10.227,-18.75
8,4,2,1,ok,data\split_audio\splits2\jingle_008.wav,81682,91910,81.682,91.910,10228,10.228,-18.76
9,5,1,0,ok,data\split_audio\splits2\jingle_009.wav,92970,103085,92.970,103.085,10115,10.115,-20.44
10,5,2,0,ok,data\split_audio\splits2\jingle_010.wav,102785,112900,102.785,112.900,10115,10.115,-20.45
11,6,1,0,ok,data\split_audio\splits2\jingle_011.wav,114780,127137,114.780,127.137,12357,12.357,-18.53
12,6,2,1,ok,data\split_audio\splits2\jingle_012.wav,126837,139195,126.837,139.195,12358,12.358,-18.61
13,7,1,0,ok,data\split_audio\splits2\jingle_013.wav,140200,155775,140.200,155.775,15575,15.575,-20.89
14,7,2,0,ok,data\split_audio\splits2\jingle_014.wav,155475,171050,155.475,171.050,15575,15.575,-20.83
15,8,1,0,ok,data\split_audio\splits2\jingle_015.wav,171560,186992,171.560,186.992,15432,15.432,-18.55
16,8,2,1,ok,data\split_audio\splits2\jingle_016.wav,186692,202125,186.692,202.125,15433,15.433,-18.52
17,9,1,0,ok,data\split_audio\splits2\jingle_017.wav,202440,210855,202.440,210.855,8415,8.415,-16.39
18,9,2,0,ok,data\split_audio\splits2\jingle_018.wav,210555,218970,210.555,218.970,8415,8.415,-17.12
19,10,1,0,ok,data\split_audio\splits2\jingle_019.wav,220440,228855,220.440,228.855,8415,8.415,-16.39
20,10,2,0,ok,data\split_audio\splits2\jingle_020.wav,228555,236970,228.555,236.970,8415,8.415,-17.11
21,11,1,0,ok,data\split_audio\splits2\jingle_021.wav,238445,248127,238.445,248.127,9682,9.682,-20.60
22,11,2,1,ok,data\split_audio\splits2\jingle_022.wav,247827,257510,247.827,257.510,9683,9.683,-20.87
23,12,1,0,ok,data\split_audio\splits2\jingle_023.wav,257620,267325,257.620,267.325,9705,9.705,-20.57
24,12,2,-20,ok,data\split_audio\splits2\jingle_024.wav,267025,276710,267.025,276.710,9685,9.685,-20.80
25,13,1,0,ok,data\split_audio\splits2\jingle_025.wav,276840,284855,276.840,284.855,8015,8.015,-21.60
26,13,2,0,ok,data\split_audio\splits2\jingle_026.wav,284555,292570,284.555,292.570,8015,8.015,-21.21
27,14,1,0,ok,data\split_audio\splits2\jingle_027.wav,292830,304925,292.830,304.925,12095,12.095,-20.17
28,14,2,-80,ok,data\split_audio\splits2\jingle_028.wav,304625,316640,304.625,316.640,12015,12.015,-19.63
29,15,1,0,ok,data\split_audio\splits2\jingle_029.wav,316705,324787,316.705,324.787,8082,8.082,-21.62
30,15,2,1,ok,data\split_audio\splits2\jingle_030.wav,324487,332570,324.487,332.570,8083,8.083,-21.24
31,16,1,0,ok,data\split_audio\splits2\jingle_031.wav,332830,344925,332.830,344.925,12095,12.095,-20.17
32,16,2,-80,ok,data\split_audio\splits2\jingle_032.wav,344625,356640,344.625,356.640,12015,12.015,-19.63
33,17,1,0,ok,data\split_audio\splits2\jingle_033.wav,358865,374488,358.865,374.488,15623,15.623,-20.23
34,17,2,1,ok,data\split_audio\splits2\jingle_034.wav,374188,389812,374.188,389.812,15624,15.624,-20.42
35,18,1,0,ok,data\split_audio\splits2\jingle_035.wav,389512,405714,389.512,405.714,16202,16.202,-19.84
36,18,2,1,ok,data\split_audio\splits2\jingle_036.wav,405414,421617,405.414,421.617,16203,16.203,-20.61
37,19,1,0,ok,data\split_audio\splits2\jingle_037.wav,421317,437677,421.317,437.677,16360,16.360,-19.93
38,19,2,0,ok,data\split_audio\splits2\jingle_038.wav,437377,453737,437.377,453.737,16360,16.360,-21.15
39,20,1,0,ok,data\split_audio\splits2\jingle_039.wav,453437,470254,453.437,470.254,16817,16.817,-21.35
40,20,2,201,ok,data\split_audio\splits2\jingle_040.wav,469954,486972,469.954,486.972,17018,17.018,-21.26
41,21,1,0,incomplete,data\split_audio\splits2\jingle_041.wav,486672,501505,486.672,501.505,14833,14.833,-20.95
