index,repeat_group,repeat_index,repeat_delta_ms,repeat_status,output_path,start_ms,end_ms,start_s,end_s,duration_ms,duration_s,clip_dbfs
1,1,1,0,ok,data\split_audio\rerun_jr01\jingle_001.wav,0,10010,0.000,10.010,10010,10.010,-13.97
2,1,2,50,ok,data\split_audio\rerun_jr01\jingle_002.wav,10860,20920,10.860,20.920,10060,10.060,-13.98
3,2,1,0,ok,data\split_audio\rerun_jr01\jingle_003.wav,21765,36045,21.765,36.045,14280,14.280,-18.67
4,2,2,0,ok,data\split_audio\rerun_jr01\jingle_004.wav,36765,51045,36.765,51.045,14280,14.280,-18.68
5,3,1,0,ok,data\split_audio\rerun_jr01\jingle_005.wav,51730,60160,51.730,60.160,8430,8.430,-18.72
6,3,2,-30,ok,data\split_audio\rerun_jr01\jingle_006.wav,61755,70155,61.755,70.155,8400,8.400,-18.76
7,4,1,0,ok,data\split_audio\rerun_jr01\jingle_007.wav,71755,81300,71.755,81.300,9545,9.545,-18.45
8,4,2,5,ok,data\split_audio\rerun_jr01\jingle_008.wav,82360,91910,82.360,91.910,9550,9.550,-18.46
9,5,1,0,ok,data\split_audio\rerun_jr01\jingle_009.wav,92970,101990,92.970,101.990,9020,9.020,-19.94
10,5,2,0,ok,data\split_audio\rerun_jr01\jingle_010.wav,103880,112900,103.880,112.900,9020,9.020,-19.96
11,6,1,0,ok,data\split_audio\rerun_jr01\jingle_011.wav,114780,126490,114.780,126.490,11710,11.710,-18.30
12,6,2,-10,ok,data\split_audio\rerun_jr01\jingle_012.wav,127495,139195,127.495,139.195,11700,11.700,-18.37
13,7,1,0,ok,data\split_audio\rerun_jr01\jingle_013.wav,140200,155355,140.200,155.355,15155,15.155,-20.78
14,7,2,25,ok,data\split_audio\rerun_jr01\jingle_014.wav,155870,171050,155.870,171.050,15180,15.180,-20.72
15,8,1,0,ok,data\split_audio\rerun_jr01\jingle_015.wav,171560,186695,171.560,186.695,15135,15.135,-18.47
16,8,2,0,ok,data\split_audio\rerun_jr01\jingle_016.wav,186990,202125,186.990,202.125,15135,15.135,-18.44
17,9,1,0,ok,data\split_audio\rerun_jr01\jingle_017.wav,202440,218970,202.440,218.970,16530,16.530,-16.74
18,9,2,0,ok,data\split_audio\rerun_jr01\jingle_018.wav,220440,236970,220.440,236.970,16530,16.530,-16.74
19,10,1,0,check,data\split_audio\rerun_jr01\jingle_019.wav,238445,250682,238.445,250.682,12237,12.237,-20.64
20,10,2,-5109,check,data\split_audio\rerun_jr01\jingle_020.wav,250382,257510,250.382,257.510,7128,7.128,-20.89
21,11,1,0,check,data\split_audio\rerun_jr01\jingle_021.wav,257620,265083,257.620,265.083,7463,7.463,-20.75
22,11,2,4464,check,data\split_audio\rerun_jr01\jingle_022.wav,264783,276710,264.783,276.710,11927,11.927,-20.59
23,12,1,0,ok,data\split_audio\rerun_jr01\jingle_023.wav,276840,280575,276.840,280.575,3735,3.735,-21.28
24,12,2,15,ok,data\split_audio\rerun_jr01\jingle_024.wav,280825,284575,280.825,284.575,3750,3.750,-21.33
25,13,1,0,check,data\split_audio\rerun_jr01\jingle_025.wav,284825,292570,284.825,292.570,7745,7.745,-21.07
26,13,2,8506,check,data\split_audio\rerun_jr01\jingle_026.wav,292830,309081,292.830,309.081,16251,16.251,-20.22
27,14,1,0,check,data\split_audio\rerun_jr01\jingle_027.wav,308781,316640,308.781,316.640,7859,7.859,-19.22
28,14,2,-3989,check,data\split_audio\rerun_jr01\jingle_028.wav,316705,320575,316.705,320.575,3870,3.870,-21.41
29,15,1,0,check,data\split_audio\rerun_jr01\jingle_029.wav,320825,324570,320.825,324.570,3745,3.745,-21.32
30,15,2,4000,check,data\split_audio\rerun_jr01\jingle_030.wav,324825,332570,324.825,332.570,7745,7.745,-21.06
31,16,1,0,check,data\split_audio\rerun_jr01\jingle_031.wav,332830,349081,332.830,349.081,16251,16.251,-20.22
32,16,2,-8392,check,data\split_audio\rerun_jr01\jingle_032.wav,348781,356640,348.781,356.640,7859,7.859,-19.22
33,17,1,0,ok,data\split_audio\rerun_jr01\jingle_033.wav,358865,365915,358.865,365.915,7050,7.050,-19.76
34,17,2,5,ok,data\split_audio\rerun_jr01\jingle_034.wav,366145,373200,366.145,373.200,7055,7.055,-19.81
35,18,1,0,check,data\split_audio\rerun_jr01\jingle_035.wav,375110,386451,375.110,386.451,11341,11.341,-20.69
36,18,2,6703,check,data\split_audio\rerun_jr01\jingle_036.wav,386151,404195,386.151,404.195,18044,18.044,-19.35
37,19,1,0,check,data\split_audio\rerun_jr01\jingle_037.wav,406915,418262,406.915,418.262,11347,11.347,-20.73
38,19,2,6691,check,data\split_audio\rerun_jr01\jingle_038.wav,417962,436000,417.962,436.000,18038,18.038,-19.41
39,20,1,0,check,data\split_audio\rerun_jr01\jingle_039.wav,438725,459288,438.725,459.288,20563,20.563,-20.82
40,20,2,-11281,check,data\split_audio\rerun_jr01\jingle_040.wav,458988,468270,458.988,468.270,9282,9.282,-20.87
41,21,1,0,check,data\split_audio\rerun_jr01\jingle_041.wav,471960,492521,471.960,492.521,20561,20.561,-20.76
42,21,2,-11277,check,data\split_audio\rerun_jr01\jingle_042.wav,492221,501505,492.221,501.505,9284,9.284,-21.24
